DATE	PET	P	T	Q
02/07/1990	0.8946	-0.120666667	2.449	0.3522
03/07/1990	0.696533333	-0.234666667	2.419333333	0.363453333
04/07/1990	0.2863	-0.114333333	1.290333333	0.245413333
05/07/1990	0.233366667	-0.013333333	1.306666667	0.304186667
06/07/1990	0.873666667	-0.329	2.127333333	0.391293333
07/07/1990	0.618566667	0.182	5.260333333	0.310946667
08/07/1990	0.247866667	0.012333333	2.252666667	0.255666667
09/07/1990	0.379066667	0.137666667	3.636333333	0.28524
10/07/1990	0.0839	-0.292666667	2.815	0.284093333
11/07/1990	0.863333333	-0.293333333	2.927333333	0.24188
12/07/1990	0.637466667	-0.026	2.405333333	0.262133333
13/07/1990	0.612866667	0.079333333	2.003	0.364186667
14/07/1990	0.7786	-0.126	6.636666667	0.336533333
15/07/1990	0.2955	-0.162333333	8.382	0.3262
16/07/1990	0.6795	-0.155333333	7.949	0.305253333
17/07/1990	0.4564	0.086333333	6.867666667	0.332773333
18/07/1990	0.511833333	0.316	6.078333333	0.277626667
19/07/1990	0.887066667	-0.246666667	3.431666667	0.269413333
20/07/1990	0.429366667	-0.288666667	4.622666667	0.2026
21/07/1990	0.0088	-0.195333333	4.491	0.211253333
22/07/1990	0.562	-0.303666667	2.783666667	0.097493333
23/07/1990	-0.328666667	0.021333333	3.489666667	0.132533333
24/07/1990	-0.1417	0.037333333	-0.021666667	0.14684
25/07/1990	0.241166667	-0.284666667	-3.047	0.130546667
26/07/1990	0.397633333	-0.213666667	-3.232	0.1978
27/07/1990	0.377966667	0.005333333	-3.047	0.249733333
28/07/1990	0.2249	-0.092333333	-0.036333333	0.181466667
29/07/1990	0.1338	-0.315	0.579666667	0.1484
30/07/1990	0.337033333	0.209333333	-0.294333333	0.127133333
31/07/1990	0.3343	0.102333333	1.735333333	0.007186667
01/08/1990	0.339933333	0.322	4.142333333	0.04028
02/08/1990	0.034033333	0.22	3.205666667	0.162506667
03/08/1990	-0.059633333	19.31466667	4.468333333	0.408786667
04/08/1990	0.471433333	28.07466667	3.253666667	0.556626667
05/08/1990	0.403566667	12.18766667	1.223666667	0.578426667
06/08/1990	-0.0948	1.522666667	2.153	0.630093333
07/08/1990	0.165433333	0.193	3.036666667	0.491053333
08/08/1990	0.079366667	-0.221666667	3.124666667	0.28976
09/08/1990	0.126333333	5.547	2.822	0.19776
10/08/1990	0.443333333	-0.028	2.315666667	0.254066667
11/08/1990	0.5247	-0.161	-4.775666667	0.197386667
12/08/1990	0.322233333	0.168333333	-9.652333333	0.157133333
13/08/1990	0.0135	0.289333333	-7.209333333	0.178813333
14/08/1990	0.221566667	2.777666667	-3.869333333	0.165533333
15/08/1990	0.304533333	0.075666667	0.091333333	0.201146667
16/08/1990	0.426166667	11.717	0.742666667	0.2354
17/08/1990	0.360033333	7.297333333	0.836333333	0.673826667
18/08/1990	0.265166667	18.66866667	-0.272333333	0.756253333
19/08/1990	0.493	40.408	-2.207666667	0.813853333
20/08/1990	0.430533333	0.685666667	-3.379	0.795186667
21/08/1990	0.559333333	0.217333333	-1.135	0.807146667
22/08/1990	0.108933333	-0.192	-0.031666667	0.545026667
23/08/1990	0.093533333	1.566666667	-0.798333333	1.359173333
24/08/1990	0.2799	19.33266667	0.683333333	1.664146667
25/08/1990	0.493066667	48.621	-0.241333333	1.783213333
26/08/1990	0.617166667	6.640333333	0.041	1.909826667
27/08/1990	0.2301	2.397	-1.361333333	1.91488
28/08/1990	0.143033333	0.296666667	-1.369666667	1.1224
29/08/1990	0.7172	-0.025333333	-2.398	0.842186667
30/08/1990	0.811033333	0.155666667	-4.731333333	0.72744
31/08/1990	0.413333333	-0.245333333	-1.543333333	0.6068
01/09/1990	0.243166667	-0.173333333	2.803666667	0.526226667
02/09/1990	0.306166667	-0.159	3.096666667	0.517866667
03/09/1990	0.210133333	-0.29	3.599666667	0.73548
04/09/1990	-0.2463	8.358666667	6.458333333	1.803973333
05/09/1990	0.2873	35.32366667	7.789	3.58092
06/09/1990	0.2916	56.86166667	5.552333333	4.408826667
07/09/1990	0.219633333	8.683333333	7.678	5.521093333
08/09/1990	0.622766667	16.96666667	6.667	6.037333333
09/09/1990	0.6971	20.01366667	7.646333333	5.588053333
10/09/1990	0.900066667	0.197333333	7.647	4.235133333
11/09/1990	0.4576	0.307333333	5.472333333	3.68188
12/09/1990	0.329666667	0.128	5.031666667	2.79096
13/09/1990	0.2904	-0.148	5.911333333	2.278026667
14/09/1990	0.269466667	0.030666667	6.987666667	1.821146667
15/09/1990	0.8733	0.034666667	6.572333333	1.527893333
16/09/1990	0.982466667	0.286666667	6.388	1.471186667
17/09/1990	-0.128333333	13.932	5.81	1.572813333
18/09/1990	0.543	7.241666667	5.532333333	2.737413333
19/09/1990	0.508866667	39.4	5.578333333	3.713586667
20/09/1990	0.641733333	21.93466667	9.694	4.349546667
21/09/1990	0.7418	0.254333333	8.971	4.728493333
22/09/1990	1.1009	1.328666667	6.801	4.7968
23/09/1990	0.500333333	-0.065666667	5.437666667	3.7242
24/09/1990	0.586133333	-0.181	5.32	2.900533333
25/09/1990	0.599033333	1.98	6.519333333	2.433013333
26/09/1990	0.909833333	3.437333333	8.550333333	2.01372
27/09/1990	1.1256	1.086333333	4.748333333	1.800373333
28/09/1990	0.691333333	0.353	5.051666667	1.609626667
29/09/1990	1.1851	0.316	6.761	1.478386667
30/09/1990	0.5427	-0.094666667	3.771666667	1.56992
01/10/1990	0.363866667	0.222	1.401	1.58524
02/10/1990	0.792033333	30.46466667	1.398333333	1.574706667
03/10/1990	0.549866667	1.132	1.412333333	1.6066
04/10/1990	0.502266667	-0.280666667	2.944666667	1.607026667
05/10/1990	1.199166667	0.320666667	4.298666667	1.381373333
06/10/1990	1.1792	-0.061	4.643	1.364853333
07/10/1990	1.262466667	0.157	5.352666667	1.220013333
08/10/1990	1.262533333	0.180333333	4.681	1.108773333
09/10/1990	1.547466667	-0.073333333	4.768	0.969373333
10/10/1990	1.1208	0.116666667	3.549	0.910906667
11/10/1990	1.191133333	-0.319666667	2.218666667	0.877133333
12/10/1990	0.954	-0.166	3.016	0.87944
13/10/1990	0.8772	0.175666667	2.167666667	0.833546667
14/10/1990	1.1609	5.131	1.261333333	0.926146667
15/10/1990	0.7753	-0.102333333	1.697	0.94044
16/10/1990	0.988533333	0.192666667	1.984333333	1.010733333
17/10/1990	0.680566667	15.28733333	3.663333333	1.035453333
18/10/1990	0.941033333	7.478	6.019333333	1.645266667
19/10/1990	1.4577	13.104	6.171666667	3.200893333
20/10/1990	1.060833333	27.50933333	8.980333333	5.89268
21/10/1990	1.184666667	57.03333333	9.018	7.469706667
22/10/1990	2.619166667	10.44966667	4.95	8.54148
23/10/1990	1.254666667	1.325666667	4.707	8.68896
24/10/1990	1.220433333	-0.224333333	6.002	7.606053333
25/10/1990	1.324133333	-0.181	7.585333333	5.26892
26/10/1990	1.791	-0.276	5.986	3.942426667
27/10/1990	0.8181	4.489	3.732	3.1304
28/10/1990	1.3498	-0.057	4.45	2.699946667
29/10/1990	1.1353	-0.268	2.334333333	2.344653333
30/10/1990	1.437033333	-0.033333333	2.965	2.10528
31/10/1990	1.0468	4.064333333	3.044666667	1.938626667
01/11/1990	1.523266667	-0.262333333	2.576666667	1.80676
02/11/1990	1.538966667	0.107333333	3.701	1.68688
03/11/1990	1.7276	-0.074333333	8.422333333	1.61752
